TICKETID,ISSUE,SUBJECT,URGENCYCODE,PROBLEM,SOLUTION
t6UJ9A00G37Z,MS,Daily checks ref,1,Daily checks ref,Daily checks completed. See attached report
t6UJ9A00G37X,MS,,1,,Daily checks completed. See attached report
t6UJ9A00G3WK,,Setting up a new G/L category,3,Please could you tell me how to set up a new G/L category?,Stepped through creating PONLACCxxx and OPNLGDSxxx keys in  >  > General >  keys.
t6UJ9A00G3V6,,Sage / Boultex IP,3,",

As part of our acquisition, we will be moving on-premise VMs to Azure. This will involve an IP address change on the finance and Boultex servers.

Please could you let us know which components, if any, are using a hardcoded IP address or would be affected by this change?

Thanks,","Checked and supplied information to Sam relating to Sage, V1 and addons"
t6UJ9A00G3US,,,3,"Hi, 

Please can you unlock Timesheet TS210971 - Sage crashed 

Thank you,",clear processes
t6UJ9A00G3TW,,Open POs Query for status and line type meaning,1,"Hi, 

We currently have status on the query below but I am unable to find what they mean:

So far I can see:
C (I know this one is complete)
R
P
blank

Please could explain what they are as I cannot see the list in sage.

 regard to the line type, please could these be explained:
C
S
P

I am not sure if either the status or the line type has any more options. If so, please could you provide them and the meaning.

SELECT podetm.order_no, podetm.order_line_no, podetm.line_type, podetm.warehouse, podetm.product, podetm.description, podetm.date_required, poheadm.status, podetm.date_completed, podetm.qty_ordered, podetm.qty_received, podetm.qty_invoiced, podetm.weight, podetm.local_expect_cost, podetm.local_total_expect, podetm.local_total_actual, podetm.foreign_exp_cost, podetm.foreign_total_exp, podetm.foreign_total_act, poheadm.currency, poheadm.supplier, poheadm.date_entered
FROM zenteum.scheme.podetm podetm, zenteum.scheme.poheadm poheadm
WHERE poheadm.order_no = podetm.order_no AND ((podetm.line_type<>'C') AND (poheadm.currency='USD') AND (poheadm.status<>'9') AND (podetm.status<>'C' And podetm.status<>'R'))
ORDER BY podetm.date_required


Thanks,

,",send details
t6UJ9A00G3UQ,,:,3,"We have received the attached error 5 x when running the invoice program in Sage. 

What happens is that the invoice program starts running and you can see the amount of invoices being counted that is being invoiced. 
It then fails with the error message above and does not print spool, however the order up to that point has been invoiced and batch created in slinvm. 

We ran it 5 times in total to get through all the orders, however we don't have the actual output of the 700 invoices. 
Do we have any idea of might cause this error as we look at space in SQL etc and there was sufficient resources.","4 invoicing batches were created at the same time Sage had an issue locking the temp table. All batches have been posted to the customer account and G/L.
Amended spool queue status from SPOOLING to DEFERRED to allow documents to be printed."
t6UJ9A00G3UT,CentralSupportingFiles,Currency set up,1,"Good morning,
 
Could you please tell me how I can set a new currency up in Sage? I basically want to be able to have 2 rates for euro's as we have a fixed hedged rate.
 
Kind regards","The screen shot from CRM shows the EUR values only 
details are sent from export master to Sage CRM only so no GBP rates to be able to amend so will close the ticket and Julie will discuss this internally with"
t6UJ9A00G3TO,,Order line issue in Sage,3,"Would someone please have a look into the issue below for us?

When trying to hard allocate stock, the user is unable to.  

On the screenshot below, on the highlighted line, the free quantity should be 840 and not 1.  There is also another line missing.

The user is unable to invoice this order. 

Can someone please assist?


TV details are below:",Correct allocation in SQL as batches were allocated to an invoiced order.
t6UJ9A00G3T2,,Logging support tickets via email,3,"Good morning, you don't seem to be getting my emails to log support requests, i can see them leaving our mail server but i don't get a response like i usually do,I assume they are being blocked at your end for some reason, could you please check for me ?

Many thanks",Sensitivity: Private   setting caused the issue
t6UJ9A00G3TF,,Sage lock,3,", 

Can you please kill me from sage?

My enhanced stock enquiry is currently frozen.",killed 3 hung sessions
t6UJ9A00G3RT,,-,3,",

Can you please set up  in Sage?  Please use existing user  as a template. 

Thanks,",setup resource as requested
t6UJ9A00G3T3,Inventory,,3,"Could i please have todays  password.

Many thanks",Stock recalc password provided
t6UJ9A00G3NG,,Order acknowledgement is not received,3,"Our user  is experiencing an issue with order acknowledgements not being received over emails. This only happens for one of the accounts – . Everything else works fine.

Can I please get some assistance with this.","Hi ,

Sorry, we were having a look from our side as well in the meantime to try and resolve this issue. I believe this is now fixed. The users have realised that one of the records was not copied over correctly. Therefore, the email was not being sent internally. Thanks you for your help and apologies for the confusion.

Kind regards,"
t6UJ9A00FTRP,,and labour Variances,3,"We currently have material and labour variances coming through sage as automatic journals however they come through as blanket variances and its difficult to understand what products this impact, is it possible to link these to product groups?

Currently we only see: 

COS – Sensors 
 ALL PRODUCTS 
 – ALL PRODUCTS 

we would like to see : 
COS – 
COS –  –  – Sensors",Provided breakdown of figures and stepped through the process.
t6UJ9A00G3PN,MTD Query,MTD on TBit,3,"VAT return report will not run.
The first time I tried it the CM figures pdf failed so I tried again and now it won't run at all - when it asks if I want to overwrite I return to agree and it goes straight back to the VAT return home screen.

The error message on the Sage home screen reads ....The native peer died unexpectedly",Connected and killed 2 processes for  and  ce.exe
t6UJ9A00G3RA,,-,3,"Hi ,

This is approved. Please could you ask Datel to set  up? Use my email in case they need my approval.

They need to be at the  so I suggest using another Trainee in  to be used as a template.

Many thanks,

David

,

Can you please set up  in Sage?  Please use existing user as a template. 

Thanks,",dial on add as requested.
t6UJ9A00G3RF,,Sage,3,"Hiya,

 is stuck on the below screen, please can you help?  

Kind regards,
|",all clear now
t6UJ9A00G3RE,,Sage locked,3,"Hiya, 

My sage is locked again – can you please unlock it? 

Thanks  

Kind regards,",all clear now
t6UJ9A00G3QN,,Credit note CN647307,3,"A member of our  team has miss-typed when creating a credit note and has credited and returned to stock an erroneous quantity.
 
Please can someone reach out to  to assist in reversing out of the dodgy transaction and re-processing with the correct quantity.
 
For ERP01 access please use TeamViewer ID:  Password:",Credit note hadn't been printed so deleted line and selected correct batch to be issued. Credit note deleted.
t6UJ9A00G3Q8,Inventory,,3,"We have a query with regards to the month end stock journal. And what the break down is of a posting code.

EG we have posting code ML-110-IC-211 ( stock write offs ) that has 5573.75 worth of transactions against it.  These are for last months INVENTORY period 03 year 25.

But how can we see this via the front end of Sage and also the tables where this data is stored.","Discussed stnomovm with  over teams
Demo was a copy of live from last month so able to identify movement figure
Can also use stkhst to get user name"
t6UJ9A00G3E7,SEI,SEI,3,"We have the following issues with sei could you help .

	Cannot find the table to a too create a new data model for inventory value(current value , fifo value ect ) could you advise what it is called ?

	Scheduler error message .","Backed up the NEC_JOBS table and then removed the entry as we did on a previous ticket 
This has worked  has confirmed"
t6UJ9A00G3F2,,Query on logauditm,1,Query on logauditm,That table is definitely there in csmaster… I would suggest a check on the syntax in your  query.
t6UJ9A00G3MW,Auditing,-,1,Can I please ask that the attached are run for the period 01/01/2024 – 30/11/2024?,"Extracted data as requested for FY24.

use marbhsa
select 'marbhsa' company, nlyear, trans_period, post_date,journal_date, posting_code,replace(m.description,',',' ') account_desc , origin, journal_number, replace(journal_desc,',',' ') journal_description, round(journal_amount,2) journal_amount, t.currency_code, 
              round(currency_amount,2) currency_amount, round(exchange_rate,6) exchange_rate, multidiv
from scheme.nltranm t with (nolock)
inner join scheme.nlmastm m with (nolock) on t.posting_code = m.nominal_code
where nlyear = '24'
order by nlyear, trans_period, posting_code, transaction_group"
t6UJ9A00G3PB,Cashbook,Batch posting report cannot reach this page,3,I'm trying to post a batch through  but getting the error below. Could you please help to resolve the error.,"Appears network connection was lost as unable to connect to AZ-SQL01
Disconnecting and reconnecting resolved issue"
t6UJ9A00G3P0,,Customer code locked,3,"Hiya, 

ISS012 is locked on Sage – can you please unlock it? 

Thanks  

Kind regards,",someone was sat in the customer record causing the lock
t6UJ9A00G3P5,,sage frozen,3,"Hi,

Sage has just frozen while posting a POP non-core invoice – 

Please can you help?

Many thanks,",all clear now
t6UJ9A00G3O2,,Sage stuck,3,"Hiya, 
 
My sage is stuck in processing an invoice – can you please unlock it? 

Thanks  

Kind regards,",all clear now
t6UJ9A00G3O1,,Frozen screen,3,"Hello,

My screen is frozen in /Invoices, is there a blockage?  Thanks
 


Best regards,",all clear now
t6UJ9A00G3NY,,,3,",

Please can you unlock batch PI9219 for me. Sage crashed while I was coding an invoice in this batch.


Kind regards",Killed hung process
t6UJ9A00G3N6,,pop up message,3,"Hi, 

Can you confirm if a pop up appears if a price is dropped for all things but particularly MEL credit notes and new invoices? 

We are investigating as a sale was processed with zero value, one of our users believes that a pop up should appear asking the operator if they wish to continue. If it does is there a log of this occurring? 


Thanks,","- 22/01/2025 09:31:46 (GMT )
Hi ,

Please close this it’s a duplicate


Thanks,"
t6UJ9A00G36H,Reports,Change to PDF reports,3,"Please assist with the change to PDF reports rather than legacy reporting for demo companies; uk, nl and es. 

To exclude General ledger reporting which is to remain legacy. Same as is currently set up for the US (NA) company.

Once we have completed testing in Demo we will ask for the same to be changed in the live companies.","Advised  on chanigng the  to Augmment to produce in PDF  in ,  option.  Select the relevant report, company, formset combination required"
t6UJ9A00G3J3,,8 batches have no poster/creator showing,3,", 

We are doing our year end data extract for the auditors. 

The document we send them is too big to attach, it is a TB to GL reconciliation. 

We then also layer in a look up to give the 'poster', 'creator' and 'post_date'

The following 8 items are not showing as having this data:

Date	batch_reference	poster	creator	post_date
17/01/2024		 	 	 
18/01/2024		 	 	 
04/03/2024		 	 	 
04/03/2024		 	 	 
22/03/2024		 	 	 
25/03/2024		 	 	 
01/09/2024		 	 	 
06/09/2024		 	 	 


Can you please help, they loo to be AP uploads. 

Cheers,","Connected and identified that the journals in question are all '' Journals althrough document headers are on NLDOCNL and NLDOCPL are YES system not updating nltranlk due to the nature of the posting
 to get back if requiring anything further"
t6UJ9A00G3HV,Cashbook,locked batch,3,"have a locked batch in  cash management, receipts, CB00015935

Please could you unlock or delete this, whichever is easier, and let me know when complete",removed lock from cblockm
t6UJ9A00G3FG,,set-up in,3,",

Please could you assist us in setting a bank account in  Sage for posting Sales and Purchase payments against?

We have already set-up the  relevant to it, 10-05-1000, and the posting code has also been generated, being 00-01-10-05-1000. We would like the bank code to be BC if possible please 
Many thanks,",Help with configuring cash book for
t6UJ9A00G2HB,,and discounts,3,"They often have situations where orders are entered or imported into Sage without discounts and would like to be able to auto credit and then re-invoice the customer with the correct discount 

the customer can have a % discount assoicated with them on customer record but may also have product specific discounts as well","Hi ,

The other query from  regarding the discounts, we’ve already explored using Excel connect and the solution is ‘too loose’. It would enable the users to make amendments for different uses, and not just the intended purpose. 
You can close this one for now and if we need further assistance, we’ll raise it again separately."
t6UJ9A00G3IE,,reports in 2025 period 1,3,"Could you confirm whether or not, we can successfully run  reports for period 1 in 2025 through Sage anywhere?
 
I only ask as we're yet to close period 12 for 2024 and get the below error when running a search for postings in 2025.",Advised user to add LASTPER24 and LASTPER25 system keys and give a value of 12
t6UJ9A00FZSV,,Additional payment terms for invoice only,3,"Are you able to assist on the below query from one of our users please:
 
Can you investigate if it is possible to provide more payment terms when creating an invoice only. At this moment the systems only allows 30 day's.",AM Referral
t6UJ9A00G3C1,EDI,:  Order  Report - EDI Not working,3,"Can someone help me with the below please. 
I am trying to run off this order for EDI and it is kicking me out.",Helped  from  setup a missing stock lookup
t6UJ9A00G3FB,,FW:   Report,3,"Morning, 

Just to make you aware there is another EDI that is not pulling through which should be fine. 
Can someone please have a look into this.

 

Telephone:",Helped  from  setup a missing stock lookup
t6UJ9A00G3E0,Printing,Sales order Print,3,"Is it possible to stop the print when we raise an sales order.
We are currently trying to go paperless and don't have the need for this now.","Amended the default on the  form to uncheck that an  was required on the BUR Sage formset.
Any issues let us know and we can revert."
t6UJ9A00G3IA,Performance,Sage error affecting some users,3,We're getting the below error for some users. The error seems intermittent and users are able to get back into SAGE after a brief time. I've had three reports so far but this usually spreads further once the issue start arising.,"Services restarted by  
Connected and cleared all applauncher.exe processes
Sage now working okay"
t6UJ9A00G2JZ,,CRM Tomcat service failed,3,"Hi,
A user reported that the mail merge function had stopped working in CRM again

I restarted the Tomcat service and this has fixed the issue but this has happened multiple times over the last few weeks.

We have set the recovery options to restart the service if it fails, is there anything else that could be causing this to fail so often?

Thanks","Setup two scheduled tasks to run daily at 5am and 5:30am respectively on MAST-VM-CRM22. First task stops, pauses, then starts the  service. Second task checks if the Tomcat service is running and starts it if for any reason it isn't running. 

Both scheduled tasks run using Mast's 'IT Support' user due to time access restrictions in place on the Datel user account. So, any further changes to the scheduled tasks would need to be carried out by Mast IT, with the correct IT Support credentials.

Tested the drag & drop functionality in CRM and it was working normally (tested with PDF, JPG and TXT file types)."
t6UJ9A00G3I0,,problem,3,"I am trying to book in purchase order  but it keeps
Saying the order is in use but I cant find anyone that is
In it.","Checked and found a SQL lock against Purchase order 
After checking I found this was locked from a number of days ago, but noone in Sage has had a session open this long.
I have removed the lock and  confirms this is now working."
t6UJ9A00G2VD,,Year-End- New entities,3,"Just trying to close the open periods (Oct – Nov) in the new companies that have had no activity during 2024- MA  and MA .

Sage is requiring me to run a final TB before period-ending, however doesn't seem to like the fact there has been no activity, do you know how we can get around this?","I’ve changed the NLPDETBAL in all three Sage companies to YES from NO
GMBH is in period 12 so also changed NLYDETBAL to YES from NO.

Also had to make some updates as currency code not entered in nlmastm for 46 records in gmbh and uk

2 of the Sage companies have no transctions for FY24 so year end wouldn't run so changed NLPERIOD to 01 form 12   and NLYEAR to 25 from 24"
t6UJ9A00G3DC,,error,3,"Please see email chain below in regards to setting up ASDN07 as a customer, 

Apologies if it's a stupid question, how do I set ASDN07 as a customer? Is this something I would do and if so where?","A customer cleardown removed accounts which users were expecting to still be on the system.
Advised to recreate as once archived it can't be unarchived."
t6UJ9A00G2G4,,no symingtons address in sage to ship trailer to,3,"Hi,

User  has reported:

Gone to ship trailer to cross green and there is no drop down that has symingtons or cross green address anymore on.
 

Any ideas please?","It appears the java.policy was missing from C:\csclient\WebClient\components so its likely requires files failed to download. Although we did put this back I believe a restart of IIS is required.
 has said users are ok to use General addresses in the meantime."
t6UJ9A00G3A2,,Sage on a TESGL Laptop,3,We have a non-domain joined laptop that requires Sage1000 as part of a project. I have installed Sage using the script you originally provided (I needed to change sage1 to sage1.bas.local as the laptop is not domain joined) but after the install when double clicking the  on the desktop I get the splash screen followed by an error saying Failed to contact web service    I did modify the icon's properties in notepad as it was trying sage1 and I changed it to sage1.bas.local but still no joy.  Do you have any advice please?,"Advised it may be possible to add a  for your server’s name of sage1.bas.local in  (). The user would need to be a in the local user group on sage1.bas.local.

 advised this worked"
t6UJ9A00G3H1,,account 2558 locked,3,"Hi, 

We are trying to process an order on account 2558 but it is coming up a locked. We would normally just have to remove the credit limit and this will unlock the account but this is not the case for 2558. Please can you advise? 

Many thanks 

Lauren","Discussed with .
She is changing credit limit on account to 0 but the account has overdue transations
so still going on stop
She then changed to -1 but still this will stop the account due to transactions
Advised to enter -2 which instructs system to not perform a credit check at all"
t6UJ9A00G3BJ,Client,Sage1000 install,3,"Hi,

Is someone able to give  (cc'd in this email) in regards to installing Sage 1000 on his new laptop.

Thanks","Helped  locate the installer and helped over WebEx to correct the SERP connection file
The only line wrong appear to be the server tag which had localhost
<Server>anchyssg19</Server>

 shown why this was failing, he now knows to check the server tag but also can copy the serp file from a working machine.
 tested and this logged in with his user proving he had installed the client correctly."
t6UJ9A00G3BD,,SQL CPU,3,"Hi,

The CPU on our Sage DB Server (KT-SAGEDB) is maxed out today by sqlserver.exe.

Can somebody take a look please to identify what SQL activity might be the root cause.

Thanks","- 21/01/2025 09:29:48 (GMT )
Problem was five DataLinx jobs running and consuming all the CPU resource on the server. These have been killed off. 

CPU configuration looks like a little off with the system set to spread jobs across multiple CPU's at a low cost."
t6UJ9A00G3DI,,,3,"I have recently picked up the purchase ledger side, and was wondering if there was a quicker way to amend the date on a purchase order with updating the individual lines also?

For example we have now received a confirmed delivery date for our PO .

I have amended the date in the first section (below)
And now I have to amend the date in each line of the order for it to properly pull through (below)


I just wanted to know if there was a quicker way of doing this which we aren't aware of?","Advised of a  on Sage which will allow the required date to be copied from the header.  confirms this has been set to MATCH.

POCHNGREQD:
Determines how changes to the required date on a purchase order header affects the required date on the order detail line.

NO - any change to the required date on the order header does not affect the order lines.
GLOBAL - changes to the required date on the order header are applied to all detail lines. The user is prompted to confirm the changes.
MATCH - changes to the required date on the order header are applied to any detail line where the order line req'd date matches the original required date. The user is prompted to confirm the changes. For example: the required date on the header is 01/07/10. Order line 1 req'd date = 01/07/10. Order line 2 req'd date = 08/07/10. The order header required date is changed to 05/07/10. Therefore, the Order line 1 req'd date is now 05/07/10. Order line 2 req'd date is still 08/07/10."
t6UJ9A00G3DZ,Printing,sage printing,3,"Hi  

Please could I log a ticket cannot print from sage at the moment, could you take a look.

Thanks",printing okay now
t6UJ9A00G3C7,,Please break the link between PO  / SO,3,"Good afternoon Datel,

Can you please break the link for PO  & SO  in MUK please?

Please advise when done.

Thank you",break link
t6UJ9A00G31K,,to 1 user,3,"Hi 

Can someone please assist with adding the full stock details menu to one of our users 'spustova' on the 'comply' database. 

Please see TV details below:

Thank you in advance. 

,","Added to   open > sales > mainsales  
Option added  op_service_entry  
  and added st_stock_entry to menu structure for open > main_stock  to the 95 formset menu structure"
t6UJ9A00G3C6,,Sage1000 SQL table enquiry,1,"Good morning,

We have data on our suppliers stored within SQL,
On the supplier screen in S1000 there is an option for Document emails.

We need to know what table these are located in so we can extract the information easily?

Could we have someone look into this for us","Hi ,

Table is scheme.enh_pl_supp_emails currently holds some 524 entries for various document types."
t6UJ9A00G3C8,,Total LB is not Visible,3,"Sigmatex CTS is having an issue seeing the total lb's in a report if it is a large number. Could this be due to the decimal point is placed to far into the sequence? 


This was a stock history report.","Field identified as st:st_history_print:print_form end_line field closing_balance set to 10 increased to 12, also product_line field opening_balance increased from 10 to 12"
t6UJ9A00G3E6,,ORDER LOCKED,3,"Hi, 

Please can you unlock order .

Thanks,",order now available
t6UJ9A00G3BG,EDI,EDI,3,"I am trying to run the option to copy EDI lookup tables from the input section to the output section, but I'm getting the below error message:

This was working fine on Friday, but when I try to run today I'm getting the error message.
 
Could you please take a look at this and advise.

Error received from back-end
Invalid handle in HandleListAddress 1","The issue appeared to resolve itself.
I wasn't able to identify the exact cause"
t6UJ9A00G3CB,,Customer,3,"A odd one, please could some assist to why there is a order balance of 1650.00 on this account, this account has a 6k credit limit set and can not raise a order of 4957.08?",Advised to use the “Customer order balance update” option to fix the issue
t6UJ9A00G3D8,,locked out of order,3,"Hi, 

Was in middle of processing above order, system appeared to shut down, had to log on again completely, tried to enter sales order and it is locked.

Please can you unlock me out of the order

Thanks",clear processes
t6UJ9A00G3CQ,,PAY APP - NWP01374 - please check it's posted to the ledger,3,"Hi there, 

Can I check that this application has posted to the ledger correctly. Credit control needs to raise an invoice, but I can't print a copy.",Connected and identified Application for payment has posted correctly on contract and can see against customer
t6UJ9A00G3CC,,Locked order,3,"Hi.

My colleague locked in the sales order  due to laptop issues.
Please can you unlock her.

Thank you",dial on locate and clear processes.
t6UJ9A00G3CF,Printing,spool full,3,I am getting this message – but when I follow the usual instructions I am finding that there are no prints to delete with my username (),Cleared  spool queue and identified nl appears in the group.
t6UJ9A00G3BC,Inventory,creating a new tray code,3,I was creating a new tray code HSLF18909010/MSW in /Amend and it has frozen,"Connected and checked processes killed  details but still persisted to freeze
Identified healthcheck subplan still running so ended that sql job as causing locks"
t6UJ9A00G3A8,,D123925,3,",

 updated while I was half way through putting on an order.
This order is now locked.
Please can you unlock so I can complete?

 D123925

,",killed hung session
t6UJ9A00G3A3,,Sage on a TESGL Laptop,3,",

We have a non-domain joined laptop that requires Sage1000 as part of a project. I have installed Sage using the script you originally provided (I needed to change sage1 to sage1.bas.local as the laptop is not domain joined) but after the install when double clicking the  on the desktop I get the splash screen followed by an error saying Failed to contact web service    I did modify the icon's properties in notepad as it was trying sage1 and I changed it to sage1.bas.local but still no joy.  Do you have any advice please?

Thanks,","- 20/01/2025 09:50:07 (GMT )
duplicate of"
t6UJ9A00G39H,,,5,"Hi

Our sage is down again this morning communication error please could you take a look.

Thanks
                                       
Please do not print this email unless you really need to.","Sage 1000 ERP Agent service was not running startup type was set to automitic(delayed), once started Sage worked

also recommended they either add some space to C and E drive or archive the  folder as this is taking up more than 50%  of the E drive"
t6UJ9A00G37G,,euro exchange,3,"euro exchange rate dates needs to understand the bottom one

is it expiry or stop date",A new currency record is required for each financial year (FY24) and a spot rate date is required to allow Sage to process transactions within the year.
t6UJ9A00G2KE,,-end Error,3,"I'm trying to close year-end in and have come across the following error, where can I find which posting codes need a credit/ debit indicator updating?",Ran rebuild on nlaccm to allow year end to close.
t6UJ9A00G376,Inventory,,3,"Hi

I should know this, but can you please advise what the basis of the valuation of stock is in the Sage stock system?  I.e. is it done on an  basis?  I think that's what we agreed when building the system, however, I need to confirm to the auditors so I wanted to be sure.

Thanks","Hi ,

Checking the system keys as below you don’t use ‘’ as part of the stock valuation:-

Checking the stock valuation report this reports in 3 ways

1	Standard, calculated by multiplying quantity by the standard cost on the stock file
2	Current calculated by multiply stock quantity by the current cost
3	FIFO this calculates the value of each batch (quantity x batch cost) and then adds all the batch values up for each product

The FIFO flag is ticked on the report header, so it appears to be the valuations are based on the FIFO report. ()"
t6UJ9A00G36P,,Server OS Upgrades - Sage 1000 Compatibility,3,",

Our servers which host  1000 and the DIF applications are currently running on versions of  which are EOL and therefore present a certain amount of risk to us in terms of security, our central infrastructure teams therefore need to upgrade these servers to a later version, we need to understand however what version we can upgrade to which will be supported by the Sage and Datel applications. Is this something you can advise on please?

Also, is it possible to perform in-place upgrade of the OS or will we have to create new virtual servers and migrate the applications over?

Many thanks and best regards,","Hi 

Sage 1000 v4 SP11 works on SQL Server 2022 and Windows 2022

As far as DIF is concerned I’m afraid you are the only customer running it now so they do not know if it works on the later versions of Windows or SQL server.

They would be able to build a server internally to test but it would be chargeable as we would need to book their time.

I will come back to you when I have spoken with  regarding the in place upgrade."
t6UJ9A00G353,,PLSUPPM,3,"I have downloaded PLSUPPM into excel using ODBC.
 
I have noted a field ytd_sales, however this seems to be picking up 2023 transactions.
 
As an example please look at A&B1","The ytd_sales column is cleared down by the Year-  Cleardown option. This should be run when you close each year but Sage doesn’t insist so it might not have been done.

This SQL should allow you to see the current open balance and the most recent year you last transacted with a supplier.

select i.supplier, s.name, sum(i.local_amount) open_amt, max(plyear+'/'+period) recent_year
from scheme.plitemm i with (nolock)
inner join scheme.plsuppm s with (nolock) on i.supplier=s.supplier
group by i.supplier, s.name"
t6UJ9A00G30R,,Our  Nominal/ -,3,"Doesn't time fly - it's that time again to close off our year end nominal ledger and kindly ask if someone could assist me with shadowing my movements remotely when I am doing the close off?

Sage year 2023
Our year 01/11/2023 – 31/10/2024",Assisted  with
t6UJ9A00G36F,,Customer name extension,3,"A colleague has enquired if it is possible to extend the length of the customer name field in create /customers due to a request from customer 1S08.
 
Please advise if this is possible?","Unfortunately it is not possible to extend the customer name field in Sage.
The data is stored in too many tables for this to be possible."
t6UJ9A00G34E,,ENHANCED STOCK ENQUIRY,3,"ENHANCED STOCK ENQUIRY

Please can you kill me out of the above process ?

Thanks",clear processes.
t6UJ9A00G2ZU,MTD Query,MTD Module - License expired,3,"It looks like our License for MTD Module expired at the end of December. Please find the screenshot of the error message below.

Can you please assist with this?
Sage licence applied on ticket 9-74978",Licence expiry date resolved with Sage.
t6UJ9A00G279,,need to manage SAGE user activity more closely,3,"In view of our current restriction on SAGE 1000 licenses (due to no longer being issued), we need to manage SAGE user activity more closely.

To try and achieve this we need to understand who in or user base are 'transacting users' and who are 'enquiring users'.

I have had a look into the  option, but this only seems to give us users and their login/logout time +date and the IP address they accessed from.

What we would ideally need is some kind of history to show the menu option/item the user has used..is this possible.is this information kept in the system anywhere ?


Regards","I have checked and in  it doesn’t keep a log in the way you require.
We suggested adding a SQL trigger to csmaster.scheme.uar and amend the option name to make it clearer what programs are running."
t6UJ9A00G1SJ,,,3,"I need you to change the passwords on these accounts please as they are yours i believe. 

Csuser SB to confirm with 3rd Party
Csuserv2 -  SB to confirm with 3rd  -  SB to confirm with 3rd  -  SB to confirm with 3rd Party","When the passwords are amended, on the server itself the following will need updating:
•	There are 3 services which will need the password re-entered
•	 using two different accounts will need the password re-entered 
•	One config file for Sage SRD updated
•	The encrypted password for the Sage agent service needs to be updated
•	 COM+ Applications and DCOM config needs the updated password entered

We recommend restarting the  at this point to ensure Sage comes up with the new password, so downtime of Sage will be required.


The encrypted password for the Sage agent service needs to be updated, this is done by updating the password in E:\csserver\Services\agents.bat
 

My colleague has reminded me  COM+ Applications needs the updated password entered and DCOM config updated
S1000 ERP //SRD /SRD 
 
Sage 1000  is set to use mtscleansing\csuserv2 (The 2 other S1000 DCOM are not set to use a user)"
t6UJ9A00G2E9,MS,Daily checks ref,1,Daily checks ref,Daily checks completed. See attached report
t6UJ9A00G2E4,MS,,1,,Daily checks completed. See attached report
t6UJ9A00G337,,Locked PI batch,3,",
 
My computer restarted unexpectedly and it has locked batch PI 5490
 
Please can it be unlocked?",Cleared orphaned process.
t6UJ9A00G2Y8,,user id within general ledger transactions on yearly audit,1,"team has been tasked with providing the user ID as part of the yearly data audit for general ledger transactions.

I have reviewed the database and the nltranm table through SSMS, but I couldn't identify any field that appears to contain this information.

Could you please advise if there's a field we can use for this purpose? The auditors have suggested using the  to link directly to our Sage system, but we would prefer to provide the required information ourselves if possible.","Sage 1000 will only hold the user id if 2 projects (DA1245 and DA1169) were licenced when the transaction was posted. If these project weren’t licenced then the data is not held in a Sage database table.
Please note that these projects must not be licenced without assistance from Datel as there are some data conversions required.

The SQL statements below will extract the required data if the projects have recorded the data in the relevant tables.


--Need projects DA1245 and DA1169 to be able to get user name liked to nltranm
SET TRANSACTION ISOLATION LEVEL READ UNCOMMITTED
SELECT t.nlyear, t.trans_period, t.posting_code, t.journal_number, t.journal_date, t.journal_desc, t.journal_amount, t.origin, t.post_date, 
	nd.poster, nd.document_number
FROM scheme.nltranm t 
INNER JOIN scheme.nltranlkm lk ON t.nlyear=lk.nlyear AND t.posting_code =lk.posting_code and t.trans_period=lk.trans_period 
	AND t.transaction_group = lk.transaction_group AND t.seq = lk.seq 
INNER JOIN scheme.nldochm nd ON lk.document_number=nd.document_number
WHERE t.nlyear='23'
ORDER BY t.unique_no , t.account_code"
t6UJ9A00G2YZ,,/,3,"Not sure if this is one for datel or Cindercone support, 

Please see attached  report. The lines in red's invoice/credits notes have posted as sales and generated in the invoices email folder but they have not posted to the M&S11 account they should be on. Please can this be looked into?",Batches had been held in  so just needed to be picked up and posted
t6UJ9A00G2WY,,SL cash batch allocation - which table?,1,"Hi,

I was wondering if you can help.

I need to download table from SQL that hold data relevant to all SL cash batches posted this financial year.

I found the one which holds this current month but ideally I need YTD data – can you help?

Thank you.","select i.customer, c.name, i.item_no, i.dated, i.kind, i.amount, i.currency_amount, i.currency, 
	i.slyear, i.period,x.transaction_item, x.allocated_date, x.item_type, x.allocated_amount
from scheme.slitemm i with (nolocK)
inner join scheme.slcustm c with (nolock) on i.customer= c.customer
left outer join scheme.slxrefm x with (nolock) on i.item_no=x.batch_item_no and i.customer= x.customer
where kind = 'CSH' and slyear = '2024'
order by i.customer, i.item_no, x.transaction_item"
t6UJ9A00G2SV,Paperless,Paperless invoicing.,1,"I have made an adjustment to the invoice template in mid December but this does not seem to be getting used for invoices. The last time I just updated the template in D:\Paperless.

Template: PPL_InvoiceCredit

Are there any other locations this template would be accessed from?

Shown on invoice:
 

What this should be as the crystal report shows for this template:",amended PPL_InvoiceCredit report for David
t6UJ9A00G2YM,Printing,sage printing,3,"Please see below sage is also running vey slow.

I cannot print from Sage, can you see if there is an issue please?
 
I can print from everything else","- 16/01/2025 15:25:32 (GMT )

Paperless was unable to create spools due to the C drive being full.

We have cleared the space and Paperless is now printing."
t6UJ9A00G315,Reports,Report will not refresh,3,"Good afternoon

I have been trying to run an Excel report that picks up open picking lists since this morning, but it will not refresh, could you please take a look to see if there are any blocks that could be preventing it from refreshing please.

Thanks","- 16/01/2025 15:24:25 (GMT )

This was locking with a SalesOrder .

Killed that off and the report has now run."
